"","SeasonFrom","SeasonTo","Matchday","Day","Date","Time","Home","Guest","Score90","Score45","Score90Home","Score90Guest","Score45Home","Score45Guest","PointsHome","PointsGuest","GoalsTotal90","GoalsTotal45","HomeID","GuestID"
"60",1963,1964,8,"Saturday",1963-10-19,15:30:00,"Meidericher SV","Saarbrücken","3:1","1:1",3,1,1,1,2,0,4,2,12,3
"61",1963,1964,8,"Saturday",1963-10-19,15:30:00,"K'lautern","Karlsruhe","1:0","0:0",1,0,0,0,2,0,1,0,13,4
"62",1963,1964,8,"Saturday",1963-10-19,15:30:00,"Stuttgart","Frankfurt","0:0","0:0",0,0,0,0,1,1,0,0,14,5
"63",1963,1964,8,"Saturday",1963-10-19,15:30:00,"Nürnberg","Schalke","0:2","0:1",0,2,0,1,0,2,2,1,15,6
"64",1963,1964,8,"Saturday",1963-10-19,15:30:00,"Dortmund","Hertha","7:2","4:1",7,2,4,1,2,0,9,5,16,7
"65",1963,1964,9,"Saturday",1963-10-26,15:30:00,"HSV","Braunschweig","2:1","1:1",2,1,1,1,2,0,3,2,10,9
"66",1963,1964,9,"Saturday",1963-10-26,15:30:00,"Köln","Meidericher SV","3:3","1:2",3,3,1,2,1,1,6,3,11,12
"67",1963,1964,9,"Saturday",1963-10-26,15:30:00,"Stuttgart","Dortmund","2:1","1:0",2,1,1,0,2,0,3,1,14,16
"68",1963,1964,9,"Saturday",1963-10-26,15:30:00,"Nürnberg","K'lautern","0:5","0:3",0,5,0,3,0,2,5,3,15,13
"69",1963,1964,9,"Saturday",1963-10-26,15:30:00,"Münster","TSV 1860","0:0","0:0",0,0,0,0,1,1,0,0,2,1
"70",1963,1964,9,"Saturday",1963-10-26,15:30:00,"Saarbrücken","Karlsruhe","1:3","0:1",1,3,0,1,0,2,4,1,3,4
"71",1963,1964,9,"Saturday",1963-10-26,15:30:00,"Schalke","Bremen","2:3","1:1",2,3,1,1,0,2,5,2,6,8
"72",1963,1964,9,"Saturday",1963-10-26,15:30:00,"Hertha","Frankfurt","1:3","1:0",1,3,1,0,0,2,4,1,7,5
"73",1963,1964,10,"Saturday",1963-11-09,14:30:00,"Braunschweig","Köln","1:1","1:1",1,1,1,1,1,1,2,2,9,11
"74",1963,1964,10,"Saturday",1963-11-09,14:30:00,"Meidericher SV","HSV","4:0","0:0",4,0,0,0,2,0,4,0,12,10
"75",1963,1964,10,"Saturday",1963-11-09,14:30:00,"K'lautern","Stuttgart","1:3","1:2",1,3,1,2,0,2,4,3,13,14
"76",1963,1964,10,"Saturday",1963-11-09,14:30:00,"Karlsruhe","Münster","4:2","4:1",4,2,4,1,2,0,6,5,4,2
"77",1963,1964,10,"Saturday",1963-11-09,17:00:00,"TSV 1860","Saarbrücken","7:1","1:1",7,1,1,1,2,0,8,2,1,3
"78",1963,1964,10,"Saturday",1963-11-09,17:00:00,"Frankfurt","Schalke","4:2","1:1",4,2,1,1,2,0,6,2,5,6
"79",1963,1964,10,"Saturday",1963-11-09,17:00:00,"Bremen","Hertha","2:2","1:0",2,2,1,0,1,1,4,1,8,7
"80",1963,1964,10,"Saturday",1963-11-09,19:00:00,"Dortmund","Nürnberg","3:1","1:1",3,1,1,1,2,0,4,2,16,15
"81",1963,1964,11,"Saturday",1963-11-16,14:30:00,"Braunschweig","Meidericher SV","0:0","0:0",0,0,0,0,1,1,0,0,9,12
"82",1963,1964,11,"Saturday",1963-11-16,14:30:00,"Köln","HSV","4:1","1:1",4,1,1,1,2,0,5,2,11,10
"83",1963,1964,11,"Saturday",1963-11-16,14:30:00,"Stuttgart","Nürnberg","1:0","1:0",1,0,1,0,2,0,1,1,14,15
"84",1963,1964,11,"Saturday",1963-11-16,14:30:00,"Saarbrücken","Münster","1:1","1:1",1,1,1,1,1,1,2,2,3,2
"85",1963,1964,11,"Saturday",1963-11-16,17:00:00,"TSV 1860","Karlsruhe","1:0","0:0",1,0,0,0,2,0,1,0,1,4
"86",1963,1964,11,"Saturday",1963-11-16,17:00:00,"Bremen","Frankfurt","4:1","2:1",4,1,2,1,2,0,5,3,8,5
"87",1963,1964,11,"Saturday",1963-11-16,17:30:00,"Dortmund","K'lautern","9:3","5:1",9,3,5,1,2,0,12,6,16,13
"88",1963,1964,11,"Saturday",1963-11-16,19:00:00,"Schalke","Hertha","1:0","0:0",1,0,0,0,2,0,1,0,6,7
"89",1963,1964,12,"Saturday",1963-11-23,14:30:00,"K'lautern","Braunschweig","2:1","1:0",2,1,1,0,2,0,3,1,13,9
"90",1963,1964,12,"Saturday",1963-11-23,14:30:00,"HSV","Stuttgart","1:1","0:1",1,1,0,1,1,1,2,1,10,14
"91",1963,1964,12,"Saturday",1963-11-23,14:30:00,"Meidericher SV","Dortmund","3:3","1:3",3,3,1,3,1,1,6,4,12,16
"92",1963,1964,12,"Saturday",1963-11-23,14:30:00,"Nürnberg","Köln","2:2","2:1",2,2,2,1,1,1,4,3,15,11
"93",1963,1964,12,"Saturday",1963-11-23,14:30:00,"Karlsruhe","Bremen","1:1","1:0",1,1,1,0,1,1,2,1,4,8
"94",1963,1964,12,"Saturday",1963-11-23,14:30:00,"Hertha","Saarbrücken","3:2","1:2",3,2,1,2,2,0,5,3,7,3
"95",1963,1964,12,"Saturday",1963-11-23,14:30:00,"Münster","Schalke","2:2","1:0",2,2,1,0,1,1,4,1,2,6
"96",1963,1964,12,"Saturday",1963-11-23,17:00:00,"Frankfurt","TSV 1860","5:2","2:1",5,2,2,1,2,0,7,3,5,1
"97",1963,1964,13,"Saturday",1963-11-30,14:30:00,"K'lautern","HSV","3:2","2:0",3,2,2,0,2,0,5,2,13,10
"98",1963,1964,13,"Saturday",1963-11-30,14:30:00,"Nürnberg","Meidericher SV","2:0","1:0",2,0,1,0,2,0,2,1,15,12
"99",1963,1964,13,"Saturday",1963-11-30,14:30:00,"Hertha","Karlsruhe","2:3","1:2",2,3,1,2,0,2,5,3,7,4
"100",1963,1964,13,"Saturday",1963-11-30,17:00:00,"Stuttgart","Braunschweig","5:0","3:0",5,0,3,0,2,0,5,3,14,9
"101",1963,1964,13,"Saturday",1963-11-30,17:00:00,"Frankfurt","Münster","3:0","0:0",3,0,0,0,2,0,3,0,5,2
"102",1963,1964,13,"Saturday",1963-11-30,17:00:00,"Bremen","Saarbrücken","0:3","0:1",0,3,0,1,0,2,3,1,8,3
"103",1963,1964,13,"Saturday",1963-11-30,19:00:00,"Schalke","TSV 1860","2:1","2:0",2,1,2,0,2,0,3,2,6,1
"104",1963,1964,13,"Saturday",1963-11-30,20:00:00,"Dortmund","Köln","2:3","2:3",2,3,2,3,0,2,5,5,16,11
"105",1963,1964,14,"Saturday",1963-12-07,14:15:00,"Meidericher SV","Stuttgart","3:0","1:0",3,0,1,0,2,0,3,1,12,14
"106",1963,1964,14,"Saturday",1963-12-07,14:15:00,"Münster","Bremen","1:3","0:2",1,3,0,2,0,2,4,2,2,8
"107",1963,1964,14,"Saturday",1963-12-07,15:00:00,"Karlsruhe","Schalke","1:1","0:0",1,1,0,0,1,1,2,0,4,6
"108",1963,1964,14,"Saturday",1963-12-07,17:00:00,"TSV 1860","Hertha","1:2","0:0",1,2,0,0,0,2,3,0,1,7
"109",1963,1964,14,"Saturday",1963-12-07,18:30:00,"Saarbrücken","Frankfurt","0:4","0:2",0,4,0,2,0,2,4,2,3,5
"110",1963,1964,14,"Saturday",1963-12-07,19:00:00,"Braunschweig","Nürnberg","2:0","0:0",2,0,0,0,2,0,2,0,9,15
"111",1963,1964,14,"Saturday",1963-12-07,19:00:00,"Köln","K'lautern","5:1","1:0",5,1,1,0,2,0,6,1,11,13
"112",1963,1964,14,"Saturday",1963-12-21,14:00:00,"HSV","Dortmund","2:1","0:1",2,1,0,1,2,0,3,1,10,16
"113",1963,1964,15,"Saturday",1963-12-14,14:15:00,"K'lautern","Meidericher SV","1:1","0:0",1,1,0,0,1,1,2,0,13,12
"114",1963,1964,15,"Saturday",1963-12-14,14:15:00,"Nürnberg","HSV","3:2","1:1",3,2,1,1,2,0,5,2,15,10
"115",1963,1964,15,"Saturday",1963-12-14,14:15:00,"Frankfurt","Karlsruhe","0:3","0:1",0,3,0,1,0,2,3,1,5,4
"116",1963,1964,15,"Saturday",1963-12-14,14:15:00,"Bremen","TSV 1860","4:1","1:1",4,1,1,1,2,0,5,2,8,1
"117",1963,1964,15,"Saturday",1963-12-14,16:30:00,"Schalke","Saarbrücken","4:1","0:0",4,1,0,0,2,0,5,0,6,3
"118",1963,1964,15,"Saturday",1963-12-14,16:45:00,"Stuttgart","Köln","0:1","0:0",0,1,0,0,0,2,1,0,14,11
"119",1963,1964,15,"Saturday",1963-12-14,17:00:00,"Hertha","Münster","2:0","1:0",2,0,1,0,2,0,2,1,7,2
"120",1963,1964,15,"Saturday",1963-12-14,20:00:00,"Dortmund","Braunschweig","3:0","1:0",3,0,1,0,2,0,3,1,16,9
"121",1963,1964,16,"Saturday",1964-01-11,14:30:00,"HSV","Münster","5:0","2:0",5,0,2,0,2,0,5,2,10,2
"122",1963,1964,16,"Saturday",1964-01-11,14:30:00,"Köln","Saarbrücken","1:3","1:3",1,3,1,3,0,2,4,4,11,3
"123",1963,1964,16,"Saturday",1964-01-11,14:30:00,"Meidericher SV","Karlsruhe","2:0","2:0",2,0,2,0,2,0,2,2,12,4
"124",1963,1964,16,"Saturday",1964-01-11,14:30:00,"K'lautern","Frankfurt","1:1","1:1",1,1,1,1,1,1,2,2,13,5
"125",1963,1964,16,"Saturday",1964-01-11,14:30:00,"Nürnberg","Hertha","2:3","2:2",2,3,2,2,0,2,5,4,15,7
"126",1963,1964,16,"Saturday",1964-01-11,14:30:00,"Dortmund","Bremen","4:3","4:0",4,3,4,0,2,0,7,4,16,8
"127",1963,1964,16,"Saturday",1964-01-11,17:00:00,"Braunschweig","TSV 1860","0:1","0:1",0,1,0,1,0,2,1,1,9,1
"128",1963,1964,16,"Saturday",1964-02-08,15:30:00,"Stuttgart","Schalke","2:0","1:0",2,0,1,0,2,0,2,1,14,6
"129",1963,1964,17,"Saturday",1964-01-18,14:30:00,"Münster","Braunschweig","0:2","0:0",0,2,0,0,0,2,2,0,2,9
"130",1963,1964,17,"Saturday",1964-01-18,14:30:00,"Karlsruhe","Köln","2:2","0:1",2,2,0,1,1,1,4,1,4,11
"131",1963,1964,17,"Saturday",1964-01-18,14:30:00,"Schalke","K'lautern","4:0","2:0",4,0,2,0,2,0,4,2,6,13
"132",1963,1964,17,"Saturday",1964-01-18,14:30:00,"Hertha","Stuttgart","0:2","0:0",0,2,0,0,0,2,2,0,7,14
"133",1963,1964,17,"Saturday",1964-01-18,14:30:00,"TSV 1860","Dortmund","6:1","4:1",6,1,4,1,2,0,7,5,1,16
"134",1963,1964,17,"Saturday",1964-01-18,17:00:00,"Bremen","Nürnberg","2:1","1:1",2,1,1,1,2,0,3,2,8,15
"135",1963,1964,17,"Saturday",1964-02-08,15:30:00,"Saarbrücken","HSV","1:1","0:0",1,1,0,0,1,1,2,0,3,10
"136",1963,1964,17,"Saturday",1964-02-08,15:30:00,"Frankfurt","Meidericher SV","2:2","1:1",2,2,1,1,1,1,4,2,5,12
"137",1963,1964,18,"Saturday",1964-01-25,14:30:00,"Köln","TSV 1860","2:2","1:1",2,2,1,1,1,1,4,2,11,1
"138",1963,1964,18,"Saturday",1964-01-25,14:30:00,"Meidericher SV","Münster","0:0","0:0",0,0,0,0,1,1,0,0,12,2
"139",1963,1964,18,"Saturday",1964-01-25,14:30:00,"HSV","Karlsruhe","1:1","0:1",1,1,0,1,1,1,2,1,10,4
"140",1963,1964,18,"Saturday",1964-01-25,14:30:00,"Nürnberg","Frankfurt","1:0","1:0",1,0,1,0,2,0,1,1,15,5
"141",1963,1964,18,"Saturday",1964-01-25,14:30:00,"Dortmund","Schalke","3:0","0:0",3,0,0,0,2,0,3,0,16,6
"142",1963,1964,18,"Saturday",1964-02-08,15:30:00,"K'lautern","Hertha","3:0","1:0",3,0,1,0,2,0,3,1,13,7
"143",1963,1964,18,"Thursday",1964-03-26,19:30:00,"Braunschweig","Saarbrücken","3:1","1:1",3,1,1,1,2,0,4,2,9,3
"144",1963,1964,18,"Monday",1964-03-30,15:00:00,"Stuttgart","Bremen","2:0","1:0",2,0,1,0,2,0,2,1,14,8
"145",1963,1964,19,"Saturday",1964-02-01,15:30:00,"Karlsruhe","Braunschweig","3:1","1:0",3,1,1,0,2,0,4,1,4,9
"146",1963,1964,19,"Saturday",1964-02-01,15:30:00,"Schalke","Köln","2:3","0:2",2,3,0,2,0,2,5,2,6,11
"147",1963,1964,19,"Saturday",1964-02-01,17:00:00,"Bremen","K'lautern","2:0","1:0",2,0,1,0,2,0,2,1,8,13
"148",1963,1964,19,"Saturday",1964-02-08,15:30:00,"Münster","Nürnberg","0:1","0:0",0,1,0,0,0,2,1,0,2,15
"149",1963,1964,19,"Thursday",1964-03-26,20:15:00,"TSV 1860","Stuttgart","1:1","1:0",1,1,1,0,1,1,2,1,1,14
"150",1963,1964,19,"Friday",1964-03-27,16:30:00,"Hertha","Meidericher SV","5:2","3:1",5,2,3,1,2,0,7,4,7,12
"151",1963,1964,19,"Monday",1964-03-30,14:30:00,"Saarbrücken","Dortmund","2:1","0:0",2,1,0,0,2,0,3,0,3,16
"152",1963,1964,19,"Monday",1964-03-30,18:00:00,"Frankfurt","HSV","2:2","1:1",2,2,1,1,1,1,4,2,5,10
"153",1963,1964,20,"Saturday",1964-02-15,15:30:00,"K'lautern","TSV 1860","2:1","1:0",2,1,1,0,2,0,3,1,13,1
"154",1963,1964,20,"Saturday",1964-02-15,15:30:00,"Stuttgart","Münster","0:3","0:1",0,3,0,1,0,2,3,1,14,2
"155",1963,1964,20,"Saturday",1964-02-15,15:30:00,"Nürnberg","Saarbrücken","2:0","1:0",2,0,1,0,2,0,2,1,15,3
"156",1963,1964,20,"Saturday",1964-02-15,15:30:00,"Dortmund","Karlsruhe","3:2","2:1",3,2,2,1,2,0,5,3,16,4
"157",1963,1964,20,"Saturday",1964-02-15,15:30:00,"Braunschweig","Frankfurt","0:3","0:2",0,3,0,2,0,2,3,2,9,5
"158",1963,1964,20,"Saturday",1964-02-15,15:30:00,"HSV","Schalke","3:1","0:0",3,1,0,0,2,0,4,0,10,6
"159",1963,1964,20,"Saturday",1964-02-15,15:30:00,"Köln","Hertha","3:1","2:0",3,1,2,0,2,0,4,2,11,7
"160",1963,1964,20,"Saturday",1964-02-15,15:30:00,"Meidericher SV","Bremen","1:0","0:0",1,0,0,0,2,0,1,0,12,8
"161",1963,1964,21,"Saturday",1964-02-22,15:30:00,"Schalke","Braunschweig","2:0","1:0",2,0,1,0,2,0,2,1,6,9
"162",1963,1964,21,"Saturday",1964-02-22,15:30:00,"Hertha","HSV","1:2","0:1",1,2,0,1,0,2,3,1,7,10
"163",1963,1964,21,"Saturday",1964-02-22,15:30:00,"Bremen","Köln","1:1","1:0",1,1,1,0,1,1,2,1,8,11
"164",1963,1964,21,"Saturday",1964-02-22,15:30:00,"Münster","K'lautern","1:0","0:0",1,0,0,0,2,0,1,0,2,13
"165",1963,1964,21,"Saturday",1964-02-22,15:30:00,"Saarbrücken","Stuttgart","0:1","0:0",0,1,0,0,0,2,1,0,3,14
"166",1963,1964,21,"Saturday",1964-02-22,15:30:00,"Karlsruhe","Nürnberg","1:3","1:2",1,3,1,2,0,2,4,3,4,15
"167",1963,1964,21,"Saturday",1964-02-22,15:30:00,"Frankfurt","Dortmund","2:1","1:0",2,1,1,0,2,0,3,1,5,16
"168",1963,1964,21,"Tuesday",1964-03-31,20:15:00,"TSV 1860","Meidericher SV","0:0","0:0",0,0,0,0,1,1,0,0,1,12
"169",1963,1964,22,"Saturday",1964-02-29,15:30:00,"Nürnberg","TSV 1860","2:2","1:1",2,2,1,1,1,1,4,2,15,1
"170",1963,1964,22,"Saturday",1964-02-29,15:30:00,"Dortmund","Münster","0:0","0:0",0,0,0,0,1,1,0,0,16,2
"171",1963,1964,22,"Saturday",1964-02-29,15:30:00,"K'lautern","Saarbrücken","2:4","1:2",2,4,1,2,0,2,6,3,13,3
"172",1963,1964,22,"Saturday",1964-02-29,15:30:00,"Stuttgart","Karlsruhe","4:1","3:0",4,1,3,0,2,0,5,3,14,4
"173",1963,1964,22,"Saturday",1964-02-29,15:30:00,"Meidericher SV","Schalke","3:0","2:0",3,0,2,0,2,0,3,2,12,6
"174",1963,1964,22,"Saturday",1964-02-29,15:30:00,"Köln","Frankfurt","1:1","1:0",1,1,1,0,1,1,2,1,11,5
"175",1963,1964,22,"Thursday",1964-03-26,19:30:00,"HSV","Bremen","1:1","1:1",1,1,1,1,1,1,2,2,10,8
"176",1963,1964,22,"Monday",1964-03-30,19:30:00,"Braunschweig","Hertha","1:1","1:1",1,1,1,1,1,1,2,2,9,7
"177",1963,1964,23,"Saturday",1964-03-07,16:00:00,"Hertha","Dortmund","0:0","0:0",0,0,0,0,1,1,0,0,7,16
"178",1963,1964,23,"Saturday",1964-03-07,16:30:00,"Bremen","Braunschweig","2:3","0:2",2,3,0,2,0,2,5,2,8,9
"179",1963,1964,23,"Saturday",1964-03-07,16:30:00,"TSV 1860","HSV","9:2","3:1",9,2,3,1,2,0,11,4,1,10
"180",1963,1964,23,"Saturday",1964-03-07,16:30:00,"Münster","Köln","0:2","0:2",0,2,0,2,0,2,2,2,2,11
"181",1963,1964,23,"Saturday",1964-03-07,16:30:00,"Saarbrücken","Meidericher SV","0:2","0:1",0,2,0,1,0,2,2,1,3,12
"182",1963,1964,23,"Saturday",1964-03-07,16:30:00,"Karlsruhe","K'lautern","5:1","2:0",5,1,2,0,2,0,6,2,4,13
"183",1963,1964,23,"Saturday",1964-03-07,16:30:00,"Frankfurt","Stuttgart","3:2","2:1",3,2,2,1,2,0,5,3,5,14
"184",1963,1964,23,"Saturday",1964-03-07,16:30:00,"Schalke","Nürnberg","4:1","2:1",4,1,2,1,2,0,5,3,6,15
"185",1963,1964,24,"Saturday",1964-03-14,16:30:00,"Braunschweig","HSV","2:1","0:0",2,1,0,0,2,0,3,0,9,10
"186",1963,1964,24,"Saturday",1964-03-14,16:30:00,"Meidericher SV","Köln","2:2","2:0",2,2,2,0,1,1,4,2,12,11
"187",1963,1964,24,"Saturday",1964-03-14,16:30:00,"Dortmund","Stuttgart","7:1","2:1",7,1,2,1,2,0,8,3,16,14
"188",1963,1964,24,"Saturday",1964-03-14,16:30:00,"K'lautern","Nürnberg","3:1","3:0",3,1,3,0,2,0,4,3,13,15
"189",1963,1964,24,"Saturday",1964-03-14,16:30:00,"TSV 1860","Münster","3:1","0:1",3,1,0,1,2,0,4,1,1,2
"190",1963,1964,24,"Saturday",1964-03-14,16:30:00,"Karlsruhe","Saarbrücken","2:2","0:2",2,2,0,2,1,1,4,2,4,3
"191",1963,1964,24,"Saturday",1964-03-14,16:30:00,"Bremen","Schalke","1:0","1:0",1,0,1,0,2,0,1,1,8,6
