SeasonFrom , SeasonTo ,Matchday, Day, Date, Time, Home, Guest, Score90, Score45, Score90Home, Score90Guest, Score45Home, Score45Guest, PointsHome, PointsGuest
1963  ,  1964  ,  4  ,  Saturday  ,  1963-09-14  ,  16:30  ,  Dortmund  ,  Saarbrücken  ,  2:1 , 0:1  , 2 , 1  ,  0 , 1  , 2 , 0
1963  ,  1964  ,  5  ,  Saturday  ,  1963-09-21  ,  16:30  ,  TSV 1860  ,  K'lautern  ,  3:0 , 0:0  , 3 , 0  ,  0 , 0  , 2 , 0
1963  ,  1964  ,  5  ,  Saturday  ,  1963-09-21  ,  16:30  ,  Münster  ,  Stuttgart  ,  4:2 , 1:2  , 4 , 2  ,  1 , 2  , 2 , 0
1963  ,  1964  ,  5  ,  Saturday  ,  1963-09-21  ,  16:30  ,  Saarbrücken  ,  Nürnberg  ,  3:5 , 2:2  , 3 , 5  ,  2 , 2  , 0 , 2
1963  ,  1964  ,  5  ,  Saturday  ,  1963-09-21  ,  16:30  ,  Karlsruhe  ,  Dortmund  ,  1:3 , 0:2  , 1 , 3  ,  0 , 2  , 0 , 2
1963  ,  1964  ,  5  ,  Saturday  ,  1963-09-21  ,  16:30  ,  Frankfurt  ,  Braunschweig  ,  3:0 , 2:0  , 3 , 0  ,  2 , 0  , 2 , 0
1963  ,  1964  ,  5  ,  Saturday  ,  1963-09-21  ,  16:30  ,  Schalke  ,  HSV  ,  1:0 , 1:0  , 1 , 0  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  5  ,  Saturday  ,  1963-09-21  ,  16:30  ,  Hertha  ,  Köln  ,  0:3 , 0:1  , 0 , 3  ,  0 , 1  , 0 , 2
1963  ,  1964  ,  5  ,  Saturday  ,  1963-09-21  ,  16:30  ,  Bremen  ,  Meidericher SV  ,  1:1 , 0:1  , 1 , 1  ,  0 , 1  , 1 , 1
1963  ,  1964  ,  6  ,  Saturday  ,  1963-10-05  ,  15:30  ,  Köln  ,  Bremen  ,  4:3 , 0:1  , 4 , 3  ,  0 , 1  , 2 , 0
1963  ,  1964  ,  6  ,  Saturday  ,  1963-10-05  ,  15:30  ,  Meidericher SV  ,  TSV 1860  ,  3:0 , 1:0  , 3 , 0  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  6  ,  Saturday  ,  1963-10-05  ,  15:30  ,  K'lautern  ,  Münster  ,  0:0 , 0:0  , 0 , 0  ,  0 , 0  , 1 , 1
1963  ,  1964  ,  6  ,  Saturday  ,  1963-10-05  ,  15:30  ,  Stuttgart  ,  Saarbrücken  ,  3:1 , 1:0  , 3 , 1  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  6  ,  Saturday  ,  1963-10-05  ,  18:30  ,  Nürnberg  ,  Karlsruhe  ,  2:4 , 2:1  , 2 , 4  ,  2 , 1  , 0 , 2
1963  ,  1964  ,  6  ,  Saturday  ,  1963-10-05  ,  19:00  ,  HSV  ,  Hertha  ,  5:1 , 1:1  , 5 , 1  ,  1 , 1  , 2 , 0
1963  ,  1964  ,  6  ,  Saturday  ,  1963-10-05  ,  20:00  ,  Braunschweig  ,  Schalke  ,  4:3 , 2:1  , 4 , 3  ,  2 , 1  , 2 , 0
1963  ,  1964  ,  6  ,  Saturday  ,  1963-10-05  ,  20:00  ,  Dortmund  ,  Frankfurt  ,  3:0 , 3:0  , 3 , 0  ,  3 , 0  , 2 , 0
1963  ,  1964  ,  7  ,  Saturday  ,  1963-10-12  ,  15:30  ,  TSV 1860  ,  Nürnberg  ,  5:0 , 3:0  , 5 , 0  ,  3 , 0  , 2 , 0
1963  ,  1964  ,  7  ,  Saturday  ,  1963-10-12  ,  15:30  ,  Saarbrücken  ,  K'lautern  ,  2:4 , 2:1  , 2 , 4  ,  2 , 1  , 0 , 2
1963  ,  1964  ,  7  ,  Saturday  ,  1963-10-12  ,  15:30  ,  Karlsruhe  ,  Stuttgart  ,  0:3 , 0:2  , 0 , 3  ,  0 , 2  , 0 , 2
1963  ,  1964  ,  7  ,  Saturday  ,  1963-10-12  ,  15:30  ,  Schalke  ,  Meidericher SV  ,  2:2 , 2:1  , 2 , 2  ,  2 , 1  , 1 , 1
1963  ,  1964  ,  7  ,  Saturday  ,  1963-10-12  ,  15:30  ,  Frankfurt  ,  Köln  ,  2:1 , 2:1  , 2 , 1  ,  2 , 1  , 2 , 0
1963  ,  1964  ,  7  ,  Saturday  ,  1963-10-12  ,  15:30  ,  Hertha  ,  Braunschweig  ,  1:2 , 1:2  , 1 , 2  ,  1 , 2  , 0 , 2
1963  ,  1964  ,  7  ,  Saturday  ,  1963-10-12  ,  17:00  ,  Bremen  ,  HSV  ,  4:2 , 2:1  , 4 , 2  ,  2 , 1  , 2 , 0
1963  ,  1964  ,  7  ,  Saturday  ,  1963-10-12  ,  18:00  ,  Münster  ,  Dortmund  ,  1:2 , 1:0  , 1 , 2  ,  1 , 0  , 0 , 2
1963  ,  1964  ,  8  ,  Saturday  ,  1963-10-19  ,  15:30  ,  Braunschweig  ,  Bremen  ,  1:1 , 1:1  , 1 , 1  ,  1 , 1  , 1 , 1
1963  ,  1964  ,  8  ,  Saturday  ,  1963-10-19  ,  15:30  ,  HSV  ,  TSV 1860  ,  5:0 , 3:0  , 5 , 0  ,  3 , 0  , 2 , 0
1963  ,  1964  ,  8  ,  Saturday  ,  1963-10-19  ,  15:30  ,  Köln  ,  Münster  ,  3:0 , 1:0  , 3 , 0  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  8  ,  Saturday  ,  1963-10-19  ,  15:30  ,  Meidericher SV  ,  Saarbrücken  ,  3:1 , 1:1  , 3 , 1  ,  1 , 1  , 2 , 0
1963  ,  1964  ,  8  ,  Saturday  ,  1963-10-19  ,  15:30  ,  K'lautern  ,  Karlsruhe  ,  1:0 , 0:0  , 1 , 0  ,  0 , 0  , 2 , 0
1963  ,  1964  ,  8  ,  Saturday  ,  1963-10-19  ,  15:30  ,  Stuttgart  ,  Frankfurt  ,  0:0 , 0:0  , 0 , 0  ,  0 , 0  , 1 , 1
1963  ,  1964  ,  8  ,  Saturday  ,  1963-10-19  ,  15:30  ,  Nürnberg  ,  Schalke  ,  0:2 , 0:1  , 0 , 2  ,  0 , 1  , 0 , 2
1963  ,  1964  ,  8  ,  Saturday  ,  1963-10-19  ,  15:30  ,  Dortmund  ,  Hertha  ,  7:2 , 4:1  , 7 , 2  ,  4 , 1  , 2 , 0
1963  ,  1964  ,  9  ,  Saturday  ,  1963-10-26  ,  15:30  ,  HSV  ,  Braunschweig  ,  2:1 , 1:1  , 2 , 1  ,  1 , 1  , 2 , 0
1963  ,  1964  ,  9  ,  Saturday  ,  1963-10-26  ,  15:30  ,  Köln  ,  Meidericher SV  ,  3:3 , 1:2  , 3 , 3  ,  1 , 2  , 1 , 1
1963  ,  1964  ,  9  ,  Saturday  ,  1963-10-26  ,  15:30  ,  Stuttgart  ,  Dortmund  ,  2:1 , 1:0  , 2 , 1  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  9  ,  Saturday  ,  1963-10-26  ,  15:30  ,  Nürnberg  ,  K'lautern  ,  0:5 , 0:3  , 0 , 5  ,  0 , 3  , 0 , 2
1963  ,  1964  ,  9  ,  Saturday  ,  1963-10-26  ,  15:30  ,  Münster  ,  TSV 1860  ,  0:0 , 0:0  , 0 , 0  ,  0 , 0  , 1 , 1
1963  ,  1964  ,  9  ,  Saturday  ,  1963-10-26  ,  15:30  ,  Saarbrücken  ,  Karlsruhe  ,  1:3 , 0:1  , 1 , 3  ,  0 , 1  , 0 , 2
1963  ,  1964  ,  9  ,  Saturday  ,  1963-10-26  ,  15:30  ,  Schalke  ,  Bremen  ,  2:3 , 1:1  , 2 , 3  ,  1 , 1  , 0 , 2
1963  ,  1964  ,  9  ,  Saturday  ,  1963-10-26  ,  15:30  ,  Hertha  ,  Frankfurt  ,  1:3 , 1:0  , 1 , 3  ,  1 , 0  , 0 , 2
1963  ,  1964  ,  10  ,  Saturday  ,  1963-11-09  ,  14:30  ,  Braunschweig  ,  Köln  ,  1:1 , 1:1  , 1 , 1  ,  1 , 1  , 1 , 1
1963  ,  1964  ,  10  ,  Saturday  ,  1963-11-09  ,  14:30  ,  Meidericher SV  ,  HSV  ,  4:0 , 0:0  , 4 , 0  ,  0 , 0  , 2 , 0
1963  ,  1964  ,  10  ,  Saturday  ,  1963-11-09  ,  14:30  ,  K'lautern  ,  Stuttgart  ,  1:3 , 1:2  , 1 , 3  ,  1 , 2  , 0 , 2
1963  ,  1964  ,  10  ,  Saturday  ,  1963-11-09  ,  14:30  ,  Karlsruhe  ,  Münster  ,  4:2 , 4:1  , 4 , 2  ,  4 , 1  , 2 , 0
1963  ,  1964  ,  10  ,  Saturday  ,  1963-11-09  ,  17:00  ,  TSV 1860  ,  Saarbrücken  ,  7:1 , 1:1  , 7 , 1  ,  1 , 1  , 2 , 0
1963  ,  1964  ,  10  ,  Saturday  ,  1963-11-09  ,  17:00  ,  Frankfurt  ,  Schalke  ,  4:2 , 1:1  , 4 , 2  ,  1 , 1  , 2 , 0
1963  ,  1964  ,  10  ,  Saturday  ,  1963-11-09  ,  17:00  ,  Bremen  ,  Hertha  ,  2:2 , 1:0  , 2 , 2  ,  1 , 0  , 1 , 1
1963  ,  1964  ,  10  ,  Saturday  ,  1963-11-09  ,  19:00  ,  Dortmund  ,  Nürnberg  ,  3:1 , 1:1  , 3 , 1  ,  1 , 1  , 2 , 0
1963  ,  1964  ,  11  ,  Saturday  ,  1963-11-16  ,  14:30  ,  Braunschweig  ,  Meidericher SV  ,  0:0 , 0:0  , 0 , 0  ,  0 , 0  , 1 , 1
1963  ,  1964  ,  11  ,  Saturday  ,  1963-11-16  ,  14:30  ,  Köln  ,  HSV  ,  4:1 , 1:1  , 4 , 1  ,  1 , 1  , 2 , 0
1963  ,  1964  ,  11  ,  Saturday  ,  1963-11-16  ,  14:30  ,  Stuttgart  ,  Nürnberg  ,  1:0 , 1:0  , 1 , 0  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  11  ,  Saturday  ,  1963-11-16  ,  14:30  ,  Saarbrücken  ,  Münster  ,  1:1 , 1:1  , 1 , 1  ,  1 , 1  , 1 , 1
1963  ,  1964  ,  11  ,  Saturday  ,  1963-11-16  ,  17:00  ,  TSV 1860  ,  Karlsruhe  ,  1:0 , 0:0  , 1 , 0  ,  0 , 0  , 2 , 0
1963  ,  1964  ,  11  ,  Saturday  ,  1963-11-16  ,  17:00  ,  Bremen  ,  Frankfurt  ,  4:1 , 2:1  , 4 , 1  ,  2 , 1  , 2 , 0
1963  ,  1964  ,  11  ,  Saturday  ,  1963-11-16  ,  17:30  ,  Dortmund  ,  K'lautern  ,  9:3 , 5:1  , 9 , 3  ,  5 , 1  , 2 , 0
1963  ,  1964  ,  11  ,  Saturday  ,  1963-11-16  ,  19:00  ,  Schalke  ,  Hertha  ,  1:0 , 0:0  , 1 , 0  ,  0 , 0  , 2 , 0
1963  ,  1964  ,  12  ,  Saturday  ,  1963-11-23  ,  14:30  ,  K'lautern  ,  Braunschweig  ,  2:1 , 1:0  , 2 , 1  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  12  ,  Saturday  ,  1963-11-23  ,  14:30  ,  HSV  ,  Stuttgart  ,  1:1 , 0:1  , 1 , 1  ,  0 , 1  , 1 , 1
1963  ,  1964  ,  12  ,  Saturday  ,  1963-11-23  ,  14:30  ,  Meidericher SV  ,  Dortmund  ,  3:3 , 1:3  , 3 , 3  ,  1 , 3  , 1 , 1
1963  ,  1964  ,  12  ,  Saturday  ,  1963-11-23  ,  14:30  ,  Nürnberg  ,  Köln  ,  2:2 , 2:1  , 2 , 2  ,  2 , 1  , 1 , 1
1963  ,  1964  ,  12  ,  Saturday  ,  1963-11-23  ,  14:30  ,  Karlsruhe  ,  Bremen  ,  1:1 , 1:0  , 1 , 1  ,  1 , 0  , 1 , 1
1963  ,  1964  ,  12  ,  Saturday  ,  1963-11-23  ,  14:30  ,  Hertha  ,  Saarbrücken  ,  3:2 , 1:2  , 3 , 2  ,  1 , 2  , 2 , 0
1963  ,  1964  ,  12  ,  Saturday  ,  1963-11-23  ,  14:30  ,  Münster  ,  Schalke  ,  2:2 , 1:0  , 2 , 2  ,  1 , 0  , 1 , 1
1963  ,  1964  ,  12  ,  Saturday  ,  1963-11-23  ,  17:00  ,  Frankfurt  ,  TSV 1860  ,  5:2 , 2:1  , 5 , 2  ,  2 , 1  , 2 , 0
1963  ,  1964  ,  13  ,  Saturday  ,  1963-11-30  ,  14:30  ,  K'lautern  ,  HSV  ,  3:2 , 2:0  , 3 , 2  ,  2 , 0  , 2 , 0
1963  ,  1964  ,  13  ,  Saturday  ,  1963-11-30  ,  14:30  ,  Nürnberg  ,  Meidericher SV  ,  2:0 , 1:0  , 2 , 0  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  13  ,  Saturday  ,  1963-11-30  ,  14:30  ,  Hertha  ,  Karlsruhe  ,  2:3 , 1:2  , 2 , 3  ,  1 , 2  , 0 , 2
1963  ,  1964  ,  13  ,  Saturday  ,  1963-11-30  ,  17:00  ,  Stuttgart  ,  Braunschweig  ,  5:0 , 3:0  , 5 , 0  ,  3 , 0  , 2 , 0
1963  ,  1964  ,  13  ,  Saturday  ,  1963-11-30  ,  17:00  ,  Frankfurt  ,  Münster  ,  3:0 , 0:0  , 3 , 0  ,  0 , 0  , 2 , 0
1963  ,  1964  ,  13  ,  Saturday  ,  1963-11-30  ,  17:00  ,  Bremen  ,  Saarbrücken  ,  0:3 , 0:1  , 0 , 3  ,  0 , 1  , 0 , 2
1963  ,  1964  ,  13  ,  Saturday  ,  1963-11-30  ,  19:00  ,  Schalke  ,  TSV 1860  ,  2:1 , 2:0  , 2 , 1  ,  2 , 0  , 2 , 0
1963  ,  1964  ,  13  ,  Saturday  ,  1963-11-30  ,  20:00  ,  Dortmund  ,  Köln  ,  2:3 , 2:3  , 2 , 3  ,  2 , 3  , 0 , 2
1963  ,  1964  ,  14  ,  Saturday  ,  1963-12-07  ,  14:15  ,  Meidericher SV  ,  Stuttgart  ,  3:0 , 1:0  , 3 , 0  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  14  ,  Saturday  ,  1963-12-07  ,  14:15  ,  Münster  ,  Bremen  ,  1:3 , 0:2  , 1 , 3  ,  0 , 2  , 0 , 2
1963  ,  1964  ,  14  ,  Saturday  ,  1963-12-07  ,  15:00  ,  Karlsruhe  ,  Schalke  ,  1:1 , 0:0  , 1 , 1  ,  0 , 0  , 1 , 1
1963  ,  1964  ,  14  ,  Saturday  ,  1963-12-07  ,  17:00  ,  TSV 1860  ,  Hertha  ,  1:2 , 0:0  , 1 , 2  ,  0 , 0  , 0 , 2
1963  ,  1964  ,  14  ,  Saturday  ,  1963-12-07  ,  18:30  ,  Saarbrücken  ,  Frankfurt  ,  0:4 , 0:2  , 0 , 4  ,  0 , 2  , 0 , 2
1963  ,  1964  ,  14  ,  Saturday  ,  1963-12-07  ,  19:00  ,  Braunschweig  ,  Nürnberg  ,  2:0 , 0:0  , 2 , 0  ,  0 , 0  , 2 , 0
1963  ,  1964  ,  14  ,  Saturday  ,  1963-12-07  ,  19:00  ,  Köln  ,  K'lautern  ,  5:1 , 1:0  , 5 , 1  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  14  ,  Saturday  ,  1963-12-21  ,  14:00  ,  HSV  ,  Dortmund  ,  2:1 , 0:1  , 2 , 1  ,  0 , 1  , 2 , 0
1963  ,  1964  ,  15  ,  Saturday  ,  1963-12-14  ,  14:15  ,  K'lautern  ,  Meidericher SV  ,  1:1 , 0:0  , 1 , 1  ,  0 , 0  , 1 , 1
1963  ,  1964  ,  15  ,  Saturday  ,  1963-12-14  ,  14:15  ,  Nürnberg  ,  HSV  ,  3:2 , 1:1  , 3 , 2  ,  1 , 1  , 2 , 0
1963  ,  1964  ,  15  ,  Saturday  ,  1963-12-14  ,  14:15  ,  Frankfurt  ,  Karlsruhe  ,  0:3 , 0:1  , 0 , 3  ,  0 , 1  , 0 , 2
1963  ,  1964  ,  15  ,  Saturday  ,  1963-12-14  ,  14:15  ,  Bremen  ,  TSV 1860  ,  4:1 , 1:1  , 4 , 1  ,  1 , 1  , 2 , 0
1963  ,  1964  ,  15  ,  Saturday  ,  1963-12-14  ,  16:30  ,  Schalke  ,  Saarbrücken  ,  4:1 , 0:0  , 4 , 1  ,  0 , 0  , 2 , 0
1963  ,  1964  ,  15  ,  Saturday  ,  1963-12-14  ,  16:45  ,  Stuttgart  ,  Köln  ,  0:1 , 0:0  , 0 , 1  ,  0 , 0  , 0 , 2
1963  ,  1964  ,  15  ,  Saturday  ,  1963-12-14  ,  17:00  ,  Hertha  ,  Münster  ,  2:0 , 1:0  , 2 , 0  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  15  ,  Saturday  ,  1963-12-14  ,  20:00  ,  Dortmund  ,  Braunschweig  ,  3:0 , 1:0  , 3 , 0  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  16  ,  Saturday  ,  1964-01-11  ,  14:30  ,  HSV  ,  Münster  ,  5:0 , 2:0  , 5 , 0  ,  2 , 0  , 2 , 0
1963  ,  1964  ,  16  ,  Saturday  ,  1964-01-11  ,  14:30  ,  Köln  ,  Saarbrücken  ,  1:3 , 1:3  , 1 , 3  ,  1 , 3  , 0 , 2
1963  ,  1964  ,  16  ,  Saturday  ,  1964-01-11  ,  14:30  ,  Meidericher SV  ,  Karlsruhe  ,  2:0 , 2:0  , 2 , 0  ,  2 , 0  , 2 , 0
1963  ,  1964  ,  16  ,  Saturday  ,  1964-01-11  ,  14:30  ,  K'lautern  ,  Frankfurt  ,  1:1 , 1:1  , 1 , 1  ,  1 , 1  , 1 , 1
1963  ,  1964  ,  16  ,  Saturday  ,  1964-01-11  ,  14:30  ,  Nürnberg  ,  Hertha  ,  2:3 , 2:2  , 2 , 3  ,  2 , 2  , 0 , 2
1963  ,  1964  ,  16  ,  Saturday  ,  1964-01-11  ,  14:30  ,  Dortmund  ,  Bremen  ,  4:3 , 4:0  , 4 , 3  ,  4 , 0  , 2 , 0
1963  ,  1964  ,  16  ,  Saturday  ,  1964-01-11  ,  17:00  ,  Braunschweig  ,  TSV 1860  ,  0:1 , 0:1  , 0 , 1  ,  0 , 1  , 0 , 2
1963  ,  1964  ,  16  ,  Saturday  ,  1964-02-08  ,  15:30  ,  Stuttgart  ,  Schalke  ,  2:0 , 1:0  , 2 , 0  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  17  ,  Saturday  ,  1964-01-18  ,  14:30  ,  Münster  ,  Braunschweig  ,  0:2 , 0:0  , 0 , 2  ,  0 , 0  , 0 , 2
1963  ,  1964  ,  17  ,  Saturday  ,  1964-01-18  ,  14:30  ,  Karlsruhe  ,  Köln  ,  2:2 , 0:1  , 2 , 2  ,  0 , 1  , 1 , 1
1963  ,  1964  ,  17  ,  Saturday  ,  1964-01-18  ,  14:30  ,  Schalke  ,  K'lautern  ,  4:0 , 2:0  , 4 , 0  ,  2 , 0  , 2 , 0
1963  ,  1964  ,  17  ,  Saturday  ,  1964-01-18  ,  14:30  ,  Hertha  ,  Stuttgart  ,  0:2 , 0:0  , 0 , 2  ,  0 , 0  , 0 , 2
1963  ,  1964  ,  17  ,  Saturday  ,  1964-01-18  ,  14:30  ,  TSV 1860  ,  Dortmund  ,  6:1 , 4:1  , 6 , 1  ,  4 , 1  , 2 , 0
1963  ,  1964  ,  17  ,  Saturday  ,  1964-01-18  ,  17:00  ,  Bremen  ,  Nürnberg  ,  2:1 , 1:1  , 2 , 1  ,  1 , 1  , 2 , 0
1963  ,  1964  ,  17  ,  Saturday  ,  1964-02-08  ,  15:30  ,  Saarbrücken  ,  HSV  ,  1:1 , 0:0  , 1 , 1  ,  0 , 0  , 1 , 1
1963  ,  1964  ,  17  ,  Saturday  ,  1964-02-08  ,  15:30  ,  Frankfurt  ,  Meidericher SV  ,  2:2 , 1:1  , 2 , 2  ,  1 , 1  , 1 , 1
1963  ,  1964  ,  18  ,  Saturday  ,  1964-01-25  ,  14:30  ,  Köln  ,  TSV 1860  ,  2:2 , 1:1  , 2 , 2  ,  1 , 1  , 1 , 1
1963  ,  1964  ,  18  ,  Saturday  ,  1964-01-25  ,  14:30  ,  Meidericher SV  ,  Münster  ,  0:0 , 0:0  , 0 , 0  ,  0 , 0  , 1 , 1
1963  ,  1964  ,  18  ,  Saturday  ,  1964-01-25  ,  14:30  ,  HSV  ,  Karlsruhe  ,  1:1 , 0:1  , 1 , 1  ,  0 , 1  , 1 , 1
1963  ,  1964  ,  18  ,  Saturday  ,  1964-01-25  ,  14:30  ,  Nürnberg  ,  Frankfurt  ,  1:0 , 1:0  , 1 , 0  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  18  ,  Saturday  ,  1964-01-25  ,  14:30  ,  Dortmund  ,  Schalke  ,  3:0 , 0:0  , 3 , 0  ,  0 , 0  , 2 , 0
1963  ,  1964  ,  18  ,  Saturday  ,  1964-02-08  ,  15:30  ,  K'lautern  ,  Hertha  ,  3:0 , 1:0  , 3 , 0  ,  1 , 0  , 2 , 0
1963  ,  1964  ,  18  ,  Thursday  ,  1964-03-26  ,  19:30  ,  Braunschweig  ,  Saarbrücken  ,  3:1 , 1:1  , 3 , 1  ,  1 , 1  , 2 , 0
1963  ,  1964  ,  18  ,  Monday  ,  1964-03-30  ,  15:00  ,  Stuttgart  ,  Bremen  ,  2:0 , 1:0  , 2 , 0  ,  1 , 0  , 2 , 0
