;SeasonFrom;SeasonTo;Matchday;Day;Date;Time;Home;Guest;Score90;Score45;Score90Home;Score90Guest;Score45Home;Score45Guest;PointsHome;PointsGuest;Aborted;Annulled;League
106;1963;1964;14;Saturday;;;Karlsruher SC;FC Schalke 04;1:1;0:0;1;1;0;0;1;1;False;False;1. Bundesliga
107;1963;1964;14;Saturday;;;1860 München;Hertha BSC;1:2;0:0;1;2;0;0;2;0;False;False;1. Bundesliga
108;1963;1964;14;Saturday;;;1. FC Saarbrücken;Eintracht Frankfurt;0:4;0:2;0;4;0;2;2;0;False;False;1. Bundesliga
109;1963;1964;14;Saturday;;;Eintracht Braunschweig;1. FC Nürnberg;2:0;0:0;2;0;0;0;0;2;False;False;1. Bundesliga
110;1963;1964;14;Saturday;;;1. FC Köln;1. FC Kaiserslautern;5:1;1:0;5;1;1;0;0;2;False;False;1. Bundesliga
111;1963;1964;14;Saturday;;;Hamburger SV;Borussia Dortmund;1:2;<NA>:<NA>;1;2;;;2;0;False;False;1. Bundesliga
112;1963;1964;14;Saturday;;;Hamburger SV;Borussia Dortmund;2:1;0:1;2;1;0;1;0;2;False;False;1. Bundesliga
113;1963;1964;15;Saturday;;;1. FC Kaiserslautern;Meidericher SV;1:1;0:0;1;1;0;0;1;1;False;False;1. Bundesliga
114;1963;1964;15;Saturday;;;1. FC Nürnberg;Hamburger SV;3:2;1:1;3;2;1;1;0;2;False;False;1. Bundesliga
115;1963;1964;15;Saturday;;;Eintracht Frankfurt;Karlsruher SC;0:3;0:1;0;3;0;1;2;0;False;False;1. Bundesliga
116;1963;1964;15;Saturday;;;Werder Bremen;1860 München;4:1;1:1;4;1;1;1;0;2;False;False;1. Bundesliga
117;1963;1964;15;Saturday;;;FC Schalke 04;1. FC Saarbrücken;4:1;0:0;4;1;0;0;0;2;False;False;1. Bundesliga
118;1963;1964;15;Saturday;;;VfB Stuttgart;1. FC Köln;0:1;0:0;0;1;0;0;2;0;False;False;1. Bundesliga
119;1963;1964;15;Saturday;;;Hertha BSC;Preußen Münster;2:0;1:0;2;0;1;0;0;2;False;False;1. Bundesliga
120;1963;1964;15;Saturday;;;Borussia Dortmund;Eintracht Braunschweig;3:0;1:0;3;0;1;0;0;2;False;False;1. Bundesliga
121;1963;1964;15;Saturday;;;Hamburger SV;Borussia Dortmund;2:1;0:1;2;1;0;1;0;2;False;False;1. Bundesliga
122;1963;1964;16;Saturday;;;Hamburger SV;Preußen Münster;5:0;2:0;5;0;2;0;0;2;False;False;1. Bundesliga
123;1963;1964;16;Saturday;;;1. FC Köln;1. FC Saarbrücken;1:3;1:3;1;3;1;3;2;0;False;False;1. Bundesliga
124;1963;1964;16;Saturday;;;Meidericher SV;Karlsruher SC;2:0;2:0;2;0;2;0;0;2;False;False;1. Bundesliga
125;1963;1964;16;Saturday;;;1. FC Kaiserslautern;Eintracht Frankfurt;1:1;1:1;1;1;1;1;1;1;False;False;1. Bundesliga
126;1963;1964;16;Saturday;;;1. FC Nürnberg;Hertha BSC;2:3;2:2;2;3;2;2;2;0;False;False;1. Bundesliga
127;1963;1964;16;Saturday;;;Borussia Dortmund;Werder Bremen;4:3;4:0;4;3;4;0;0;2;False;False;1. Bundesliga
128;1963;1964;16;Saturday;;;Eintracht Braunschweig;1860 München;0:1;0:1;0;1;0;1;2;0;False;False;1. Bundesliga
129;1963;1964;16;Saturday;;;VfB Stuttgart;FC Schalke 04;2:0;1:0;2;0;1;0;0;2;False;False;1. Bundesliga
130;1963;1964;17;Saturday;;;Preußen Münster;Eintracht Braunschweig;0:2;0:0;0;2;0;0;2;0;False;False;1. Bundesliga
131;1963;1964;17;Saturday;;;Karlsruher SC;1. FC Köln;2:2;0:1;2;2;0;1;1;1;False;False;1. Bundesliga
132;1963;1964;17;Saturday;;;FC Schalke 04;1. FC Kaiserslautern;4:0;2:0;4;0;2;0;0;2;False;False;1. Bundesliga
133;1963;1964;17;Saturday;;;Hertha BSC;VfB Stuttgart;0:2;0:0;0;2;0;0;2;0;False;False;1. Bundesliga
134;1963;1964;17;Saturday;;;1860 München;Borussia Dortmund;6:1;4:1;6;1;4;1;0;2;False;False;1. Bundesliga
135;1963;1964;17;Saturday;;;Werder Bremen;1. FC Nürnberg;2:1;1:1;2;1;1;1;0;2;False;False;1. Bundesliga
136;1963;1964;17;Saturday;;;1. FC Saarbrücken;Hamburger SV;1:1;0:0;1;1;0;0;1;1;False;False;1. Bundesliga
137;1963;1964;17;Saturday;;;Eintracht Frankfurt;Meidericher SV;2:2;1:1;2;2;1;1;1;1;False;False;1. Bundesliga
138;1963;1964;18;Saturday;;;1. FC Köln;1860 München;2:2;1:1;2;2;1;1;1;1;False;False;1. Bundesliga
139;1963;1964;18;Saturday;;;Meidericher SV;Preußen Münster;0:0;0:0;0;0;0;0;1;1;False;False;1. Bundesliga
140;1963;1964;18;Saturday;;;Hamburger SV;Karlsruher SC;1:1;0:1;1;1;0;1;1;1;False;False;1. Bundesliga
141;1963;1964;18;Saturday;;;1. FC Nürnberg;Eintracht Frankfurt;1:0;1:0;1;0;1;0;0;2;False;False;1. Bundesliga
142;1963;1964;18;Saturday;;;Borussia Dortmund;FC Schalke 04;3:0;0:0;3;0;0;0;0;2;False;False;1. Bundesliga
143;1963;1964;18;Saturday;;;1. FC Kaiserslautern;Hertha BSC;3:0;1:0;3;0;1;0;0;2;False;False;1. Bundesliga
144;1963;1964;18;Thursday;;;Eintracht Braunschweig;1. FC Saarbrücken;3:1;1:1;3;1;1;1;0;2;False;False;1. Bundesliga
145;1963;1964;18;Monday;;;VfB Stuttgart;Werder Bremen;2:0;1:0;2;0;1;0;0;2;False;False;1. Bundesliga
146;1963;1964;19;Saturday;;;Karlsruher SC;Eintracht Braunschweig;3:1;1:0;3;1;1;0;0;2;False;False;1. Bundesliga
147;1963;1964;19;Saturday;;;FC Schalke 04;1. FC Köln;2:3;0:2;2;3;0;2;2;0;False;False;1. Bundesliga
148;1963;1964;19;Saturday;;;Werder Bremen;1. FC Kaiserslautern;2:0;1:0;2;0;1;0;0;2;False;False;1. Bundesliga
149;1963;1964;19;Saturday;;;Preußen Münster;1. FC Nürnberg;0:1;0:0;0;1;0;0;2;0;False;False;1. Bundesliga
150;1963;1964;19;Thursday;;;1860 München;VfB Stuttgart;1:1;1:0;1;1;1;0;1;1;False;False;1. Bundesliga
151;1963;1964;19;Friday;;;Hertha BSC;Meidericher SV;5:2;3:1;5;2;3;1;0;2;False;False;1. Bundesliga
152;1963;1964;19;Monday;;;1. FC Saarbrücken;Borussia Dortmund;2:1;0:0;2;1;0;0;0;2;False;False;1. Bundesliga
153;1963;1964;19;Monday;;;Eintracht Frankfurt;Hamburger SV;2:2;1:1;2;2;1;1;1;1;False;False;1. Bundesliga
154;1963;1964;19;Saturday;;;VfB Stuttgart;FC Schalke 04;2:0;1:0;2;0;1;0;0;2;False;False;1. Bundesliga
155;1963;1964;19;Saturday;;;Eintracht Frankfurt;Meidericher SV;2:2;1:1;2;2;1;1;1;1;False;False;1. Bundesliga
156;1963;1964;19;Saturday;;;1. FC Kaiserslautern;Hertha BSC;3:0;1:0;3;0;1;0;0;2;False;False;1. Bundesliga
157;1963;1964;19;Saturday;;;1. FC Saarbrücken;Hamburger SV;1:1;0:0;1;1;0;0;1;1;False;False;1. Bundesliga
